38.240000 20.420000 2.320000 4.900000 
39.570000 26.150000 -3.310000 -3.030000 
40.560000 25.320000 -0.990000 0.830000 
36.260000 23.120000 1.260000 -2.680000 
33.480000 10.540000 2.600000 -15.750000 
37.560000 12.190000 -4.080000 -1.650000 
38.420000 13.110000 0.050000 2.020000 
37.520000 20.440000 -0.010000 -5.270000 
41.230000 9.100000 -0.060000 3.950000 
41.170000 13.050000 -2.750000 0.060000 
36.080000 -5.210000 5.150000 14.310000 
38.470000 15.130000 -0.320000 0.220000 
38.150000 15.350000 1.210000 4.210000 
37.510000 15.170000 -2.020000 -0.850000 
35.490000 14.320000 2.070000 -2.130000 
39.360000 19.560000 -1.120000 0.860000 
